                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.7259,3.0626,1.9322,0.32143,0.08735,0.06206,0.02739,2.3028,10.148,2.3344,0.0003875,0.0003875,0.0003875
2,1.9641,2.7655,2.0666,0.27715,0.10843,0.01812,0.00567,2.5365,                    inf,2.8626,0.0007823,0.0007823,0.0007823
3,1.9776,2.6772,2.1044,0.00537,0.13169,0.00321,0.00136,2.6812,                    inf,3.9219,0.0011718,0.0011718,0.0011718
4,1.986,2.8318,2.1447,0.76729,0.07229,0.01176,0.00394,2.4102,43.05,3.7091,0.0012252,0.0012252,0.0012252
5,1.9325,2.6929,2.0924,0.25711,0.06024,0.00487,0.00151,2.6912,44.842,3.2347,0.001217,0.001217,0.001217
6,1.9573,2.7059,2.1221,0.25289,0.12105,0.00181,0.00069,2.5525,                    inf,2.9353,0.0012087,0.0012087,0.0012087
7,1.95,2.6481,2.0732,0.25819,0.14759,0.0072,0.00301,2.3049,25.238,2.5281,0.0012005,0.0012005,0.0012005
8,1.882,2.5945,2.0644,0.79681,0.10895,0.05908,0.01888,2.2466,4.9801,2.3701,0.0011922,0.0011922,0.0011922
9,1.9067,2.5703,2.0619,0.80085,0.0512,0.08018,0.02496,2.4053,6.1367,2.5403,0.001184,0.001184,0.001184
10,1.8602,2.5007,2.0144,0.53204,0.07229,0.03567,0.01292,2.3573,5.6376,2.4889,0.0011757,0.0011757,0.0011757
11,1.881,2.5524,2.0218,0.84419,0.09036,0.0659,0.02307,2.3685,4.2542,2.4422,0.0011675,0.0011675,0.0011675
12,1.8515,2.5085,2.0722,0.78861,0.08735,0.08054,0.03121,2.1959,5.6991,2.442,0.0011593,0.0011593,0.0011593
13,1.8286,2.5324,2.0278,0.01053,0.29426,0.01355,0.00357,2.316,                    inf,2.5828,0.001151,0.001151,0.001151
14,1.7806,2.5476,1.9513,0.7683,0.10542,0.02063,0.00826,2.2368,39.558,2.3161,0.0011428,0.0011428,0.0011428
15,1.7564,2.4753,1.9413,0.8527,0.09639,0.08495,0.03347,2.018,3.3994,2.1474,0.0011345,0.0011345,0.0011345
16,1.7466,2.4267,1.9356,0.84441,0.05723,0.1068,0.03782,2.3297,3.0134,2.3874,0.0011263,0.0011263,0.0011263
17,1.7549,2.4558,1.9809,0.60056,0.07831,0.06741,0.023,2.3541,3.3929,2.442,0.001118,0.001118,0.001118
18,1.7931,2.3946,1.9723,0.83378,0.0994,0.13712,0.04072,2.1411,2.8225,2.2601,0.0011098,0.0011098,0.0011098
19,1.771,2.3584,1.9457,0.86849,0.10542,0.10128,0.04263,1.9737,3.095,2.1775,0.0011015,0.0011015,0.0011015
20,1.7063,2.3058,1.9119,0.84161,0.12022,0.14639,0.0581,2.0424,3.0313,2.1865,0.0010933,0.0010933,0.0010933
21,1.7232,2.3127,1.9074,0.62254,0.109,0.11156,0.04323,2.0323,2.7364,2.2131,0.001085,0.001085,0.001085
22,1.6936,2.2843,1.8965,0.62587,0.13493,0.17542,0.06871,2.0901,2.804,2.2984,0.0010768,0.0010768,0.0010768
23,1.7256,2.3737,1.9225,0.33496,0.24868,0.191,0.06688,1.9682,2.5553,2.115,0.0010685,0.0010685,0.0010685
24,1.6805,2.3353,1.9188,0.89016,0.0994,0.1043,0.04256,2.0397,3.4517,2.1574,0.0010603,0.0010603,0.0010603
25,1.654,2.3025,1.8817,0.86233,0.10078,0.10102,0.04095,1.866,2.8763,2.1007,0.001052,0.001052,0.001052
26,1.6761,2.2853,1.867,0.58534,0.10241,0.13008,0.04844,1.8555,2.6993,2.0215,0.0010438,0.0010438,0.0010438
27,1.655,2.2488,1.8587,0.12197,0.24877,0.14771,0.05467,2.1242,2.7122,2.1584,0.0010355,0.0010355,0.0010355
28,1.6145,2.2178,1.8272,0.63811,0.15117,0.17503,0.08173,2.0681,2.6175,2.1673,0.0010273,0.0010273,0.0010273
29,1.6256,2.1952,1.8591,0.29721,0.27692,0.14312,0.06365,1.8862,2.8947,2.0802,0.001019,0.001019,0.001019
30,1.6033,2.1664,1.8432,0.31691,0.28953,0.19213,0.08243,1.964,2.567,2.0593,0.0010107,0.0010107,0.0010107
31,1.6055,2.1297,1.8515,0.19998,0.2006,0.16193,0.08415,1.9681,2.6252,2.1126,0.0010025,0.0010025,0.0010025
32,1.615,2.0707,1.7936,0.20996,0.29209,0.2349,0.11278,1.8667,2.4936,2.0161,0.00099425,0.00099425,0.00099425
33,1.6128,2.0985,1.8255,0.63265,0.19804,0.17089,0.07372,1.9239,2.5809,2.017,0.000986,0.000986,0.000986
34,1.5883,2.1348,1.8005,0.21798,0.23731,0.16955,0.09498,1.8964,2.4985,2.0078,0.00097775,0.00097775,0.00097775
35,1.5811,2.1007,1.7934,0.63991,0.17282,0.17334,0.07929,1.883,2.5944,2.0092,0.0009695,0.0009695,0.0009695
36,1.5891,2.0554,1.7815,0.42833,0.32995,0.17853,0.07961,1.8215,2.4952,1.9547,0.00096125,0.00096125,0.00096125
37,1.6102,2.064,1.7935,0.23675,0.3113,0.18165,0.07593,1.8931,2.3628,1.9933,0.000953,0.000953,0.000953
38,1.5649,2.0087,1.7805,0.52856,0.2006,0.16341,0.07595,2.1172,2.5591,2.1559,0.00094475,0.00094475,0.00094475
39,1.5673,2.0852,1.7825,0.25541,0.21623,0.16514,0.0796,1.9056,2.6014,2.025,0.0009365,0.0009365,0.0009365
40,1.5243,2.0006,1.7492,0.17138,0.29125,0.16122,0.08009,2.0579,2.3617,2.1204,0.00092825,0.00092825,0.00092825
41,1.4884,1.9757,1.7208,0.83401,0.09695,0.18238,0.09274,2.0225,2.4028,2.1222,0.00092,0.00092,0.00092
42,1.5258,1.9733,1.733,0.55068,0.27156,0.20844,0.08326,1.9177,2.6039,2.0698,0.00091175,0.00091175,0.00091175
43,1.5346,1.9671,1.7562,0.55875,0.25538,0.21665,0.08836,2.018,2.3799,2.0873,0.0009035,0.0009035,0.0009035
44,1.5779,1.9718,1.7753,0.26775,0.27619,0.17899,0.07798,1.9927,2.3341,2.058,0.00089525,0.00089525,0.00089525
45,1.5281,1.9571,1.7667,0.36176,0.30688,0.22019,0.10879,1.8609,2.4282,2,0.000887,0.000887,0.000887
46,1.4853,1.9243,1.7234,0.19985,0.2776,0.2067,0.09625,1.8246,2.4598,1.9498,0.00087875,0.00087875,0.00087875
47,1.4939,1.9809,1.7351,0.57404,0.27542,0.24828,0.11765,1.7839,2.2391,1.9051,0.0008705,0.0008705,0.0008705
48,1.5082,1.9271,1.7309,0.358,0.23071,0.20216,0.08893,1.812,2.2993,1.9861,0.00086225,0.00086225,0.00086225
49,1.5089,1.939,1.7309,0.80125,0.17349,0.18585,0.08391,1.7944,2.3459,1.9568,0.000854,0.000854,0.000854
50,1.4625,1.9054,1.6991,0.40243,0.25153,0.22337,0.11303,1.8508,2.2349,2.0233,0.00084575,0.00084575,0.00084575
51,1.4844,1.8353,1.7108,0.52103,0.23045,0.23471,0.11502,1.924,2.2046,2.0279,0.0008375,0.0008375,0.0008375
52,1.4411,1.8071,1.6772,0.435,0.25996,0.24131,0.12024,1.825,2.1547,1.9418,0.00082925,0.00082925,0.00082925
53,1.483,1.8831,1.7252,0.42338,0.33154,0.27911,0.14402,1.8383,2.1431,1.9835,0.000821,0.000821,0.000821
54,1.4694,1.8421,1.7068,0.61668,0.22225,0.2112,0.10746,1.8331,2.4293,2.0037,0.00081275,0.00081275,0.00081275
55,1.4825,1.8343,1.698,0.23368,0.24727,0.17556,0.08254,1.8492,2.3829,1.9889,0.0008045,0.0008045,0.0008045
56,1.457,1.7908,1.6644,0.26164,0.29868,0.206,0.09246,1.9495,2.3779,2.0342,0.00079625,0.00079625,0.00079625
57,1.4256,1.7695,1.6896,0.30768,0.34218,0.21689,0.11022,1.9714,2.2675,2.0974,0.000788,0.000788,0.000788
58,1.4452,1.7816,1.6955,0.35482,0.25136,0.25096,0.11213,2.0073,2.2453,2.1695,0.00077975,0.00077975,0.00077975
59,1.4436,1.782,1.6598,0.37107,0.29078,0.25877,0.11623,1.8474,2.1235,1.9729,0.0007715,0.0007715,0.0007715
60,1.4009,1.7168,1.636,0.43132,0.22197,0.2339,0.1215,1.7654,2.2397,1.9137,0.00076325,0.00076325,0.00076325
61,1.4231,1.6717,1.6326,0.38756,0.24089,0.26205,0.12837,1.9247,2.1543,2.0381,0.000755,0.000755,0.000755
62,1.3978,1.6429,1.6455,0.60819,0.20418,0.20494,0.09855,1.8276,2.2887,2.016,0.00074675,0.00074675,0.00074675
63,1.3871,1.6356,1.5996,0.54495,0.25498,0.24806,0.13398,1.8173,2.2873,1.9592,0.0007385,0.0007385,0.0007385
64,1.392,1.6468,1.6558,0.6195,0.22927,0.27059,0.10997,1.9741,2.2099,2.089,0.00073025,0.00073025,0.00073025
65,1.3668,1.6583,1.6311,0.34401,0.26471,0.24381,0.11859,1.8312,2.2669,2.0375,0.000722,0.000722,0.000722
66,1.3578,1.6343,1.606,0.51081,0.19816,0.22805,0.11626,1.8474,2.2014,1.954,0.00071375,0.00071375,0.00071375
67,1.3913,1.6881,1.6542,0.39953,0.26197,0.24832,0.13542,1.791,2.201,1.8697,0.0007055,0.0007055,0.0007055
68,1.3202,1.6147,1.5851,0.2283,0.22017,0.19636,0.09352,1.8604,2.2066,1.9468,0.00069725,0.00069725,0.00069725
69,1.3581,1.5555,1.5813,0.76089,0.23192,0.24794,0.12307,1.7792,2.1045,1.9027,0.000689,0.000689,0.000689
70,1.3256,1.5219,1.5519,0.46922,0.30471,0.24808,0.11688,1.9495,2.3731,2.063,0.00068075,0.00068075,0.00068075
71,1.3484,1.5411,1.57,0.74771,0.25103,0.27232,0.13867,1.919,2.2448,2.0407,0.0006725,0.0006725,0.0006725
72,1.3519,1.5739,1.5942,0.78498,0.20808,0.26219,0.12787,1.8514,2.1509,1.9254,0.00066425,0.00066425,0.00066425
73,1.2978,1.4823,1.5305,0.73297,0.21077,0.27096,0.14233,1.8214,2.1839,1.9432,0.000656,0.000656,0.000656
74,1.3202,1.5549,1.5702,0.29712,0.31507,0.23568,0.12383,1.9131,2.3,2.0117,0.00064775,0.00064775,0.00064775
75,1.318,1.5251,1.5885,0.40297,0.23788,0.25016,0.13673,1.7925,2.2398,2.0044,0.0006395,0.0006395,0.0006395
76,1.2806,1.4679,1.5616,0.35468,0.27654,0.26125,0.12853,1.8368,2.0886,1.9689,0.00063125,0.00063125,0.00063125
