                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4476,                 1.7288,                 1.5988,                0.41607,                0.30688,                0.31628,                 0.1767,                 1.5533,                 1.9168,                 1.6799,              0.0009695,              0.0009695,              0.0009695
                     36,                 1.3803,                 1.6616,                 1.5371,                 0.4072,                0.37656,                0.33113,                 0.1766,                 1.6103,                 1.8343,                 1.6673,             0.00096125,             0.00096125,             0.00096125
                     37,                 1.4271,                 1.6669,                 1.5566,                0.32311,                0.35048,                0.31101,                 0.1517,                 1.6766,                 1.8895,                 1.7441,               0.000953,               0.000953,               0.000953
                     38,                 1.3866,                 1.6193,                 1.5452,                0.51493,                0.30547,                0.33378,                0.15739,                 1.6677,                 1.8724,                 1.7516,             0.00094475,             0.00094475,             0.00094475
                     39,                  1.382,                 1.6663,                 1.5453,                0.39957,                0.34736,                0.27122,                0.12492,                 1.8277,                 2.1943,                 1.8749,              0.0009365,              0.0009365,              0.0009365
                     40,                 1.3479,                 1.5786,                 1.5329,                0.41323,                0.35834,                0.30869,                0.15285,                 1.6601,                 2.1175,                 1.7414,             0.00092825,             0.00092825,             0.00092825
                     41,                 1.2946,                 1.5315,                 1.4855,                0.40687,                0.34483,                0.29953,                0.14765,                 1.7237,                 1.9747,                 1.7935,                0.00092,                0.00092,                0.00092
                     42,                 1.3256,                  1.539,                 1.5022,                 0.4903,                0.41752,                0.35232,                0.15705,                 1.7116,                 1.9881,                 1.8051,             0.00091175,             0.00091175,             0.00091175
                     43,                 1.3205,                 1.4995,                 1.5201,                0.49867,                0.36708,                0.33212,                0.15057,                 1.7315,                  1.936,                 1.7802,              0.0009035,              0.0009035,              0.0009035
                     44,                 1.3191,                 1.5473,                 1.5072,                0.34768,                 0.4305,                0.28726,                0.13262,                 1.7124,                 1.9052,                 1.7601,             0.00089525,             0.00089525,             0.00089525
                     45,                 1.3384,                 1.5168,                 1.5353,                0.38682,                0.28627,                0.25794,                0.13546,                 1.7128,                 2.0242,                 1.8337,               0.000887,               0.000887,               0.000887
                     46,                 1.3114,                 1.5184,                 1.5184,                0.46903,                0.42515,                0.32428,                0.14411,                 1.7356,                 1.9485,                 1.8213,             0.00087875,             0.00087875,             0.00087875
                     47,                  1.323,                 1.5455,                 1.5295,                0.33807,                0.30443,                0.26888,                0.13921,                 1.7421,                 2.0015,                 1.7995,              0.0008705,              0.0008705,              0.0008705
                     48,                 1.3159,                 1.4914,                 1.4967,                0.40133,                0.27459,                0.28016,                0.14576,                 1.6763,                 1.8639,                 1.7572,             0.00086225,             0.00086225,             0.00086225
                     49,                 1.3176,                 1.4631,                 1.4786,                0.36782,                0.28165,                0.26433,                0.15991,                 1.6143,                 1.9783,                 1.7181,               0.000854,               0.000854,               0.000854
                     50,                 1.3043,                 1.4827,                 1.4788,                 0.3538,                0.33389,                0.28001,                0.13499,                 1.6872,                 1.9661,                 1.7279,             0.00084575,             0.00084575,             0.00084575
                     51,                 1.3082,                 1.4396,                 1.4768,                 0.3798,                0.33267,                0.28673,                0.13325,                 1.7438,                 1.9439,                 1.7727,              0.0008375,              0.0008375,              0.0008375
                     52,                 1.3005,                 1.4574,                 1.4859,                0.45327,                 0.2792,                0.27154,                0.13835,                 1.7155,                 2.0092,                 1.7538,             0.00082925,             0.00082925,             0.00082925
                     53,                 1.2907,                 1.4829,                 1.5042,                0.56874,                 0.2309,                0.26914,                0.13231,                 1.7216,                 2.0229,                 1.8107,               0.000821,               0.000821,               0.000821
                     54,                 1.2655,                 1.3933,                  1.457,                0.65809,                0.24354,                0.32498,                0.15764,                 1.6412,                 2.0114,                 1.7888,             0.00081275,             0.00081275,             0.00081275
                     55,                 1.2885,                 1.4091,                 1.4635,                0.44506,                0.27745,                0.25204,                0.15213,                  1.613,                 2.1701,                 1.7637,              0.0008045,              0.0008045,              0.0008045
